Instruções de Uso:,,,,TOTAL DO ESTOQUE ,,,,ESTOQUE/CATEGORIA,,%,ESTOQUE ANTERIOR,DIFERENÇA,,,
,ETIQUETA ROSA,EMBALAGEM,ROLO,1,"R$ 50,60","R$ 50,60",,,,,,,,,
,MOLHO TARE SACHE,JAPONESES,UN,450,"R$ 0,11","R$ 49,50",,,,,,,,,
,NARUTO,JAPONESES,PACOTE,1,"R$ 47,90","R$ 47,90",,,,,,,,,
,MOLHO AGRIDOCE SACHE,JAPONESES,UN,275,"R$ 0,17","R$ 46,75",,,,,,,,,
,BENISHOGA,JAPONESES,VIDRO,1,"R$ 45,16","R$ 45,16",,,,,,,,,
,AZEITE EXTRA VIRGEM,MERCEARIA,GL,1,"R$ 43,90","R$ 43,90",,,,,,,,,
,OVO CAIPIRA (10 UND),CEASA,UN,41,"R$ 1,05","R$ 42,85",,,,,,,,,
,MOLHO GYOZA 5L,JAPONESES,GL,1,"R$ 40,89","R$ 40,89",,,,,,,,,
,TEMPERO DO KARÊ,JAPONESES,PACOTE,5,"R$ 8,00","R$ 40,00",,,,,,,,,
,CHOUX CREAM TRADICIONAL,SOBREMESAS,UN,6,"R$ 6,00","R$ 36,00",,,,,,,,,
,CHOUX CREAM DE CHOCOLATE,SOBREMESAS,UN,6,"R$ 6,00","R$ 36,00",,,,,,,,,
,CHOUX CREAM DE MATCHÁ,SOBREMESAS,UN,6,"R$ 6,00","R$ 36,00",,,,,,,,,
,GARI (GENGIBRE EM CONSERVA),JAPONESES,UN,3,"R$ 11,80","R$ 35,40",,,,,,,,,
,HALLS,SOBREMESAS,UN,38,"R$ 0,92","R$ 35,00",,,,,,,,,
,AÇUCAR ,MERCEARIA,PACOTE,2,"R$ 17,29","R$ 34,58",,,,,,,,,
,BDJ DE OVO (30 UND),CEASA,UN,60,"R$ 0,56","R$ 33,80",,,,,,,,,
,GUARANA ANTARTICA 1L,BEBIDA,UND  ,18,"R$ 1,85","R$ 33,30",,,,,,,,,
,MOLHO SHOYU SACHE,JAPONESES,UN,300,"R$ 0,11","R$ 33,00",,,,,,,,,
,MISSO (PASTA DE SOJA),JAPONESES,UN,1,"R$ 32,39","R$ 32,39",,,,,,,,,
,MOUSSE DE CUPUAÇU,SOBREMESAS,UN,19,"R$ 1,70","R$ 32,30",,,,,,,,,
,TRIDENT,SOBREMESAS,UN,21,"R$ 1,52","R$ 32,00",,,,,,,,,
,MOLHO D PANCETA,JAPONESES,GL,1,"R$ 32,00","R$ 32,00",,,,,,,,,
,POLVO/LULA,FRUTO DO MAR,KG,"0,242","R$ 119,61","R$ 28,95",,,,,,,,,
,PIMENTA DO REINO,CEASA,UND,"0,5","R$ 55,00","R$ 27,50",,,,,,,,,
,ALFACE FREEZE,CEASA,UN,10,"R$ 2,75","R$ 27,50",,,,,,,,,
,CHA GELADO PESSEGO 300ML,BEBIDA,UND  ,10,"R$ 2,72","R$ 27,20",,,,,,,,,
,SPRITE,BEBIDA,UND  ,12,"R$ 2,25","R$ 27,00",,,,,,,,,
,MANGA,CEASA,KG,3,"R$ 7,95","R$ 23,85",,,,,,,,,
,REPOLHO,CEASA,UND,3,"R$ 7,94","R$ 23,82",,,,,,,,,
,HARUMAKI D LEGUMES,JAPONESES,UN,17,"R$ 1,38","R$ 23,46",,,,,,,,,
,FLOR DE SAL,CEASA,BANDEJA,1,"R$ 23,12","R$ 23,12",,,,,,,,,
,NABO,CEASA,UN,7,"R$ 3,30","R$ 23,10",,,,,,,,,
,FANTA LARANJA 310ML,BEBIDA,UND  ,10,"R$ 2,25","R$ 22,50",,,,,,,,,
,CEBOLINHA,CEASA,MÇ,10,"R$ 2,20","R$ 22,00",,,,,,,,,
,GERGELIM MIX,JAPONESES,UN,1,"R$ 21,98","R$ 21,98",,,,,,,,,
,UAUFAJOR!,SOBREMESAS,UN,5,"R$ 4,00","R$ 20,00",,,,,,,,,
,CEBOLA,CEASA,KG,"7,776","R$ 2,50","R$ 19,44",,,,,,,,,
,SKIN ,PEIXES,KG,"3,355","R$ 5,00","R$ 16,78",,,,,,,,,
,CHA GELADO MATTE LEÃO 300ML,BEBIDA,UND  ,6,"R$ 2,77","R$ 16,62",,,,,,,,,
,BRÓCOLIS AMERICANO,CEASA,UND,3,"R$ 4,95","R$ 14,85",,,,,,,,,
,SCHWEPPES CITRUS 310ML,BEBIDA,UND  ,6,"R$ 2,30","R$ 13,80",,,,,,24/04,tonaktsu,1,"74,02"
,SCHWEPPES TONICA 310ML,BEBIDA,UND  ,6,"R$ 2,30","R$ 13,80",,,,,,,,,
,FANTA UVA 310ML,BEBIDA,UND  ,6,"R$ 2,25","R$ 13,50",,,,,,,,,
,MOYASHI,CEASA,PACOTE,2,"R$ 6,60","R$ 13,20",,,,,,,,,
,HASHI,EMBALAGEM,UN,100,"R$ 0,11","R$ 11,00",,,,,,,,,
,FLOR COMESTÍVEL,CEASA,BANDEJA,2,"R$ 5,50","R$ 11,00",,,,,,,,,
,FERMENTO EM PO ,MERCEARIA,UN,3,"R$ 3,35","R$ 10,05",,,,,,,,,
,MOLHO TERIYAKI,JAPONESES,GL,1,"R$ 9,97","R$ 9,97",,,,,,,,,
